age,yearsmarried,children,religiousness_5,education,occupation_grade6,occupation_husb_grade6,rating_5,yrs_per_age,rate_x_yrs,weight,gender_male,gender_female,target
36.0,18.0,2.0,1.0,12.0,2.0,1.0,5.0,0.5,90.0,-80.0,1.0,0.0,0.0
73.0,50.0,4.0,5.0,19.0,3.0,2.0,5.0,0.684931506849315,250.0,-80.0,1.0,0.0,0.0
66.0,44.0,1.0,1.0,12.0,1.0,1.0,3.0,0.6666666666666666,132.0,-80.0,0.0,1.0,0.0
77.0,59.0,2.0,2.0,10.0,2.0,2.0,5.0,0.7662337662337663,295.0,-80.0,0.0,1.0,0.0
72.0,55.0,2.0,2.0,12.0,3.0,1.0,5.0,0.7638888888888888,275.0,-80.0,1.0,0.0,0.0
27.0,3.0,1.0,4.0,12.0,1.0,1.0,3.0,0.1111111111111111,9.0,-80.0,0.0,1.0,0.0
36.0,9.0,0.0,2.0,15.0,1.0,1.0,5.0,0.25,90.0,-80.0,1.0,0.0,1.0
40.0,22.0,3.0,3.0,12.0,2.0,3.0,5.0,0.55,110.0,-80.0,1.0,0.0,0.0
42.0,18.0,1.0,2.0,12.0,2.0,3.0,3.0,0.4285714285714285,54.0,-80.0,1.0,0.0,0.0
61.0,45.0,4.0,3.0,13.0,3.0,2.0,5.0,0.7377049180327869,225.0,-80.0,0.0,1.0,0.0
63.0,40.0,2.0,4.0,14.0,6.0,3.0,3.0,0.6349206349206349,120.0,-80.0,0.0,1.0,0.0
31.0,6.0,2.0,3.0,14.0,5.0,4.0,5.0,0.1935483870967742,30.0,-80.0,0.0,1.0,0.0
21.0,2.0,1.0,1.0,13.0,1.0,2.0,5.0,0.0952380952380952,10.0,-80.0,0.0,1.0,0.0
37.0,21.0,4.0,3.0,9.0,2.0,1.0,5.0,0.5675675675675675,90.0,-80.0,0.0,1.0,0.0
55.0,36.0,1.0,1.0,10.0,2.0,2.0,5.0,0.6545454545454545,180.0,-80.0,1.0,0.0,0.0
23.0,5.0,1.0,3.0,15.0,1.0,1.0,3.0,0.217391304347826,15.0,-80.0,0.0,1.0,0.0
80.0,58.0,1.0,2.0,13.0,1.0,1.0,5.0,0.725,90.0,-80.0,0.0,1.0,1.0
76.0,47.0,2.0,5.0,8.0,2.0,4.0,3.0,0.618421052631579,141.0,-80.0,0.0,1.0,0.0
81.0,56.0,3.0,5.0,8.0,3.0,1.0,5.0,0.691358024691358,90.0,-80.0,0.0,1.0,0.0
31.0,10.0,0.0,1.0,13.0,3.0,1.0,5.0,0.3225806451612903,90.0,-80.0,1.0,0.0,0.0
24.0,5.0,3.0,2.0,12.0,2.0,1.0,3.0,0.2083333333333333,15.0,-80.0,1.0,0.0,1.0
49.0,32.0,2.0,5.0,10.0,5.0,1.0,5.0,0.6530612244897959,90.0,-80.0,0.0,1.0,0.0
65.0,49.0,0.0,3.0,13.0,2.0,1.0,5.0,0.7538461538461538,90.0,-80.0,0.0,1.0,0.0
53.0,8.0,0.0,2.0,13.0,2.0,1.0,5.0,0.1509433962264151,40.0,-80.0,0.0,1.0,0.0
